Region,NonCompound_Count,Compound_Count,Total_Count,Compound_pct
Africa,3666.0,489.0,4155.0,0.11768953068592057
Americas,2173.0,1015.0,3188.0,0.3183814303638645
Asia,5103.0,1398.0,6501.0,0.21504383940932165
Europe,1481.0,416.0,1897.0,0.21929362150764364
Oceania,277.0,129.0,406.0,0.31773399014778325
