Compound hazard type,Frequency
Compound flooding,56
Others,41
Extreme temperature-Extreme precipitation,36
Extreme temperature-Drought,23
Flood-Mass movement,6
Extreme precipitation-Strong wind,5
Earthquake-Mass movement,4
